# All functions Ghidra discovered.
# entry                section     size    name
0x000000018008f232  .text            1  FUN_18008f232
0x000000018008f250  .text            1  FUN_18008f250
0x000000018008f2f0  .text            1  FUN_18008f2f0
0x000000018008f5a0  .text            1  FUN_18008f5a0
0x000000018008fa30  .text            1  FUN_18008fa30
0x000000018008fb20  .text            1  FUN_18008fb20
0x000000018008fdc0  .text            1  FUN_18008fdc0
0x000000018008fe40  .text            1  FUN_18008fe40
0x000000018008fea9  .text            1  FUN_18008fea9
0x000000018008fed7  .text            1  FUN_18008fed7
0x000000018008fef6  .text            1  FUN_18008fef6
0x000000018008ff88  .text            1  FUN_18008ff88
0x000000018008ffa0  .text            1  FUN_18008ffa0
0x0000000180090120  .text            1  FUN_180090120
0x0000000180090bc0  .text            1  FUN_180090bc0
0x0000000180090c10  .text            1  FUN_180090c10
0x0000000180090c80  .text            1  FUN_180090c80
0x0000000180091940  .text            1  FUN_180091940
0x00000001800919a0  .text            1  FUN_1800919a0
0x0000000180091b2d  .text            1  FUN_180091b2d
0x0000000180091b7e  .text            1  FUN_180091b7e
0x0000000180091b9c  .text            1  FUN_180091b9c
0x0000000180092314  .text            1  FUN_180092314
0x0000000180092340  .text            1  FUN_180092340
0x0000000180092451  .text            1  FUN_180092451
0x000000018009265d  .text            1  FUN_18009265d
0x00000001800926b0  .text            1  FUN_1800926b0
0x0000000180092a90  .text            1  FUN_180092a90
0x0000000180092c50  .text            1  FUN_180092c50
0x0000000180092e8e  .text            1  FUN_180092e8e
0x0000000180092ea7  .text            1  FUN_180092ea7
0x0000000180092f22  .text            1  FUN_180092f22
0x0000000180092f40  .text            1  FUN_180092f40
0x0000000180092fb9  .text            1  FUN_180092fb9
0x00000001800930a1  .text            1  FUN_1800930a1
0x000000018009336a  .text            1  FUN_18009336a
0x000000018009338d  .text            1  FUN_18009338d
0x0000000180093580  .text            1  FUN_180093580
0x00000001800936c0  .text            1  FUN_1800936c0
0x00000001800937f0  .text            1  FUN_1800937f0
0x000000018009384a  .text            1  FUN_18009384a
0x0000000180093900  .text            1  FUN_180093900
0x0000000180093930  .text            1  FUN_180093930
0x0000000180093979  .text            1  FUN_180093979
0x00000001800939cb  .text            1  FUN_1800939cb
0x0000000180093ca8  .text            1  FUN_180093ca8
0x0000000180093cc0  .text            1  FUN_180093cc0
0x0000000180093cd7  .text            1  FUN_180093cd7
0x0000000180093d06  .text            1  FUN_180093d06
